epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.47861,0,55.8471,0,0,0,0,0,0,39.9882,0,1.429e-05,1.429e-05,1.429e-05
2,6.67795,0,55.5361,0,0,0,0,0,0,40.0648,0,4.20212e-05,4.20212e-05,4.20212e-05
3,9.87833,0,54.9956,0,0,0,0,0,0,40.1476,0,6.86206e-05,6.86206e-05,6.86206e-05
4,13.4144,0,54.4581,0,0,0,0,0,0,40.2078,0,9.40882e-05,9.40882e-05,9.40882e-05
5,17.0131,0,53.9676,0,0,0,0,0,0,40.2372,0,0.000118424,0.000118424,0.000118424
6,20.3603,0,53.6574,0,0,0,0,0,0,40.2571,0,0.000141628,0.000141628,0.000141628
7,23.6629,0,53.1783,0,0,0,0,0,0,40.2547,0,0.000163701,0.000163701,0.000163701
8,26.9237,0,52.7301,0,0,0,0,0,0,40.2281,0,0.000184641,0.000184641,0.000184641
9,31.0373,0,51.9537,0,0,0,0,0,0,40.1649,0,0.00020445,0.00020445,0.00020445
10,34.5877,0,51.3209,0,0,0,0,0,0,40.0884,0,0.000223127,0.000223127,0.000223127
11,38.3711,0,50.538,0,0,0,0,0,0,40.0215,0,0.000240672,0.000240672,0.000240672
12,41.7227,0,49.4867,0,0,0,0,0,0,40.0215,0,0.000257086,0.000257086,0.000257086
13,44.9216,0,49.3125,0,0,0,0,0,0,39.9454,0,0.000272367,0.000272367,0.000272367
14,48.172,0,48.5611,0,0,0,0,0,0,39.7918,0,0.000286517,0.000286517,0.000286517
15,51.6065,0,47.9147,0,0,0,0,0,0,39.7918,0,0.000299536,0.000299536,0.000299536
16,55.2759,0,47.6296,0,0,0,0,0,0,39.5638,0,0.000311422,0.000311422,0.000311422
17,58.5235,0,47.0449,0,0,0,0,0,0,39.2544,0,0.000322177,0.000322177,0.000322177
18,62.0622,0,46.1042,0,0,0,0,0,0,39.2544,0,0.0003318,0.0003318,0.0003318
19,65.3272,0,47.0017,0,0,0,0,0,0,38.7745,0,0.000340291,0.000340291,0.000340291
20,68.5562,0,46.1562,0,0,0,0,0,0,38.7745,0,0.00034765,0.00034765,0.00034765
21,71.7553,0,46.2331,0,0,0,0,0,0,37.8367,0,0.000353878,0.000353878,0.000353878
22,75.0014,0,45.1138,0,0,0,0,0,0,37.8367,0,0.000358973,0.000358973,0.000358973
23,78.3105,0,45.5023,0,0,0,0,0,0,36.6495,0,0.000362937,0.000362937,0.000362937
24,81.7339,0,44.3399,0,0,0,0,0,0,36.6495,0,0.00036577,0.00036577,0.00036577
25,85.5743,0,44.3434,0,0,0,0,0,0,35.5267,0,0.00036747,0.00036747,0.00036747
26,88.7812,0,43.6711,0,0,0,0,0,0,35.5267,0,0.000368039,0.000368039,0.000368039
27,92.1025,0,43.7066,0,0,0,0,0,0,35.5267,0,0.000367476,0.000367476,0.000367476
28,95.5549,0,44.2077,0,0,0,0,0,0,34.4465,0,0.000365781,0.000365781,0.000365781
29,99.4966,0,43.1062,0,0,0,0,0,0,34.4465,0,0.000362955,0.000362955,0.000362955
30,102.991,0,43.4288,0,0,0,0,0,0,33.549,0,0.000358996,0.000358996,0.000358996
31,106.278,0,42.9155,0,0,0,0,0,0,33.549,0,0.000353906,0.000353906,0.000353906
32,109.695,0,43.0413,0,0,0,0,0,0,33.549,0,0.000347684,0.000347684,0.000347684
33,113.177,0,42.6883,0,0,0,0,0,0,32.7603,0,0.000340331,0.000340331,0.000340331
34,116.713,0,42.4239,0,0,0,0,0,0,32.7603,0,0.000331845,0.000331845,0.000331845
35,120.507,0,42.6494,0,0,0,0,0,0,32.7603,0,0.000322228,0.000322228,0.000322228
36,124.676,0,42.5581,0,0,0,0,0,0,32.038,0,0.000311479,0.000311479,0.000311479
37,128.543,0,41.8977,0,0,0,0,0,0,32.038,0,0.000299598,0.000299598,0.000299598
38,131.759,0,42.3644,0,0,0,0,0,0,32.038,0,0.000286586,0.000286586,0.000286586
39,135.017,0,42.2959,0,0,0,0,0,0,31.4012,0,0.000272442,0.000272442,0.000272442
40,138.097,0,42.3071,0,0,0,0,0,0,31.4012,0,0.000257166,0.000257166,0.000257166
41,141.342,0,41.79,0,0,0,0,0,0,31.4012,0,0.000240758,0.000240758,0.000240758
42,144.616,0,41.7112,0,0,0,0,0,0,31.1045,0,0.000223218,0.000223218,0.000223218
43,147.895,0,41.4476,0,0,0,0,0,0,31.1045,0,0.000204547,0.000204547,0.000204547
44,151.181,0,42.1746,0,0,0,0,0,0,31.1045,0,0.000184744,0.000184744,0.000184744
45,155.215,0,41.5875,0,0,0,0,0,0,31.1045,0,0.000163809,0.000163809,0.000163809
46,158.702,0,41.4469,0,0,0,0,0,0,31.1479,0,0.000141743,0.000141743,0.000141743
47,162.043,0,41.5696,0,0,0,0,0,0,31.1479,0,0.000118544,0.000118544,0.000118544
48,165.394,0,41.8016,0,0,0,0,0,0,31.1479,0,9.4214e-05,9.4214e-05,9.4214e-05
49,169.041,0,41.5919,0,0,0,0,0,0,31.1479,0,6.8752e-05,6.8752e-05,6.8752e-05
50,172.587,0,41.44,0,0,0,0,0,0,31.3042,0,4.21584e-05,4.21584e-05,4.21584e-05
